Filename,Question,Answer,Confidence
107.md,Are disabled placards free?,"Disabled person placards in Utah can be obtained with no fee for the initial or replacement of paper placards. However, there is a $2.50 fee for each durable material placard, with a limit of two durable placards per individual .

References:
- https://dmv.utah.gov/plates/disabled
 - https://dmv.utah.gov/plates/disabled-person
 - https://dmv.utah.gov/taxes-fees/summary
 - https://dmv.utah.gov/plates/disabledveteran
 - https://dmv.utah.gov/plates/collecting","High
**Reasoning**: The information is consistent across multiple retrieved documents, indicating reliability."
108.md,How much does a copy of my registration cost?,"The retrieved documents do not provide specific information on the cost of obtaining a copy of your vehicle registration. For detailed and accurate information, please contact the Utah DMV directly at 801-297-7780 or 1-800-DMV-UTAH (800-368-8824).

References:
- https://dmv.utah.gov/plates/sharetheroad
 - https://dmv.utah.gov/plates/amateurradio
 - https://dmv.utah.gov/plates/utahhousing
 - https://dmv.utah.gov/plates/farm
 - https://dmv.utah.gov/plates/education","Low
The cost for a copy of vehicle registration is not explicitly mentioned in the provided documents."
109.md,I'm visiting Utah from Idaho and will be bringing my snowmobile. Do I need to register the snowmobile in Utah?,"No, you do not need to register your snowmobile in Utah if it is owned and operated by a non-resident of Utah. Snowmobiles owned and operated by non-residents are exempt from registration requirements in Utah .

References:
- https://dmv.utah.gov/vehicles/snowmobiles
 - https://dmv.utah.gov/vehicles/atvs-dirt-bikes
 - https://dmv.utah.gov/vehicles/passenger
 - https://dmv.utah.gov/vehicles/apportioned
 - https://dmv.utah.gov/vehicles","High
- The information is directly extracted from the retrieved document which explicitly mentions the exemption for non-residents."
11.md,I need to know what paperwork I would need to get my money back for the plates I paid for?,"To request a refund for the fees paid for license plates, you need to follow the specific guidelines set by the Utah DMV. Here are the steps and paperwork required:

1. **Eligibility**: Refunds are granted only under limited circumstances. For example:
   - If you renewed a vehicle that was already sold by mistake, you need to provide a bill of sale with the sale date, VIN, and seller and purchaser information. The sale date must be prior to the renewal date.
   - If you paid renewal fees for a vehicle that was sold, traded-in, or became inoperable before the registration period ended, you need to provide proof of this.

2. **Documentation**:
   - **Bill of Sale**: Include details such as the date of sale, vehicle identification number (VIN), and information about the seller and purchaser.
   - **Proof of Sale/Trade-In/Inoperability**: If applicable, provide documents that show the vehicle was sold, traded-in, or became inoperable before the new registration period began. Requests must be made within six months of the payment date.

3. **Submission**:
   - **Complete a Refund Request Form**: Visit the Utah Motor Vehicle Portal (MVP) to submit your refund request.
   - **Supporting Documentation**: Attach the required supporting documents as mentioned above.
   - **Processing Time**: Allow 6-8 weeks for the processing of your request. The DMV will review your documentation and decide whether to approve or deny the refund. If approved, a refund check will be mailed to the provided address. If denied, you will receive a letter explaining the reason for the denial.

For more detailed information, you can refer to the sections on requesting a refund on the Utah DMV website .

References:
- https://dmv.utah.gov/plates/army
 - https://dmv.utah.gov/taxes-fees/request-a-refund
 - https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/plates/navy
 - https://dmv.utah.gov/vehicles/low-speed",High. The documents provide a clear outline of the requirements and procedures for requesting a refund for license plate fees.
110.md,Can I get a replacement sticker?,"Yes, you can get a replacement sticker (decal) for your vehicle. According to the Utah DMV, you can replace a lost or stolen decal by visiting your local DMV office with a copy of the most recent registration, license plate number, or Vehicle Identification Number (VIN). The fee for the replacement depends on the type of decal:

- Motor Vehicle Decal: $5.00
- Watercraft Decal: $7.00
- OHV License Plate Decal: $4.00
- Off-Highway MC/Snowmobile Decal: $8.00
- Camper Decal: $5.00

You can also order duplicate registrations and plate replacements online through the Motor Vehicle Portal or by mail. If you choose to request by mail, include an additional $7.75 for postage .

References:
- https://dmv.utah.gov/general/replacements
 - https://dmv.utah.gov/dmv-services
 - https://dmv.utah.gov/plates/vintagevehicle
 - https://dmv.utah.gov/plates/antique
 - https://dmv.utah.gov/faq/personalized-plates","High. The information is directly sourced from the Utah DMV website, which provides detailed instructions on how to replace decals."
111.md,"If I reconstruct my vehicle with two different year vehicles, what year will my vehicle end up being?","When you reconstruct a vehicle using parts from two different year vehicles, the year of your reconstructed vehicle will be determined by what the vehicle looks like after the reconstruction. For example, if you mount a 1998 Ford pickup body onto a 1997 Ford pickup frame, the vehicle will be classified as a 1998 Ford. The model year will be based on the appearance of the vehicle after reconstruction .

References:
- https://dmv.utah.gov/vehicles/rebuilt/reconstructed
 - https://dmv.utah.gov/vehicles/rebuilt/kit-vehicles
 - https://dmv.utah.gov/vehicles/rebuilt/specially-constructed
 - https://dmv.utah.gov/vehicles/rebuilt/glider-kits
 - https://dmv.utah.gov/vehicles/multistage-vehicles",High. This information is directly retrieved from the Utah DMV documentation regarding the titling and registration of reconstructed vehicles .
112.md,Do I register airplanes with the DMV?,"No, you do not register airplanes with the DMV in Utah. The Utah Department of Transportation handles aircraft registration. For more information, you should refer to the Utah Based Aircraft Registration guidelines .

References:
- https://dmv.utah.gov/vehicles/aircraft-registration
 - https://dmv.utah.gov/vehicles/apportioned
 - https://dmv.utah.gov/vehicles
 - https://dmv.utah.gov/vehicles/passenger
 - https://dmv.utah.gov/vehicles/rebuilt/kit-vehicles",High. The response is directly supported by the retrieved document from the Utah DMV website.
113.md,"""My month decal faded, how do I get a new one?""","If your month decal has faded or is missing, you need to replace it immediately. There is no fee for a month decal replacement. You can replace a month decal by doing one of the following:

1. Call 801-297-7780 or 1-800-DMV-UTAH.
2. Visit any DMV office.
3. Visit any On The Spot renewal station.
4. Email your request to dmv@utah.gov .

References:
- https://dmv.utah.gov/general/replacements
 - https://dmv.utah.gov/register/ots-renewal
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/register/renewal
 - https://dmv.utah.gov/register/temporary-permits",High. The information provided is directly extracted from the Utah DMV's official guidelines on replacing a faded month decal .
114.md,Do I need 1 or 2 plates on my car?,"The retrieved documents do not specifically address the requirement of having one or two plates on your car in Utah. However, typically, most states, including Utah, require two license plates (one on the front and one on the rear) for standard vehicles. For the most accurate and up-to-date information, it is recommended to refer to the Utah DMV website or contact a local DMV office directly.

References:
- https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/plates/vintagevehicle
 - https://dmv.utah.gov/plates/specialinterestvehicle
 - https://dmv.utah.gov/faq/personalized-plates
 - https://dmv.utah.gov/plates/exempt","Medium
- The retrieved documents do not provide explicit information regarding the number of plates required, leading to reliance on general knowledge and standard practices."
115.md,I have a small motorcycle that is 175 cc's. Can I register it as a small motor vehicle?,"No, you cannot register your 175 cc motorcycle as a small motor vehicle. According to the Utah DMV, a small motor vehicle is defined as a motor vehicle that has an engine with 150 or less cubic centimeters (cc) or a motor that produces five or less horsepower (hp) . Since your motorcycle exceeds 150 cc, it does not qualify as a small motor vehicle.

References:
- https://dmv.utah.gov/vehicles/motorcycles
 - https://dmv.utah.gov/vehicles/apportioned
 - https://dmv.utah.gov/vehicles/low-speed
 - https://dmv.utah.gov/vehicles/rebuilt/specially-constructed
 - https://dmv.utah.gov/vehicles/aircraft-registration","High
- The definition of a small motor vehicle is clearly stated in the provided document, specifying the maximum engine size and horsepower. Your motorcycle's engine capacity of 175 cc exceeds this limit."
116.md,What is required to obtain a military exemption?,"To obtain a military exemption for vehicle registration in Utah, the following documentation is required:

1. **Military Leave and Earnings Statement (LES)** - This document is needed to verify your resident state.
2. **Military Orders or documentation on military letterhead** - This is required to verify your assignment location .

References:
- https://dmv.utah.gov/register/out-of-state-residents
 - https://dmv.utah.gov/register/nonresidents
 - https://dmv.utah.gov/register/renewal
 - https://dmv.utah.gov/plates/exempt
 - https://dmv.utah.gov/contact/scheduler","High
**Reasoning**: The information is directly sourced from the retrieved documents that specifically address the requirements for military personnel to qualify for a vehicle registration exemption in Utah."
117.md,Do I need a Safety for my Motorcycle?,"Motorcycles are required to have a Vehicle Identification Number (VIN) inspection if they are being titled in Utah for the first time, unless the motorcycle is new and was acquired from an in-state dealer or in-state manufacturer . However, there is no specific mention that motorcycles need an annual safety inspection as a prerequisite for registration .

References:
- https://dmv.utah.gov/motorcarriers/inspection-requirements
 - https://dmv.utah.gov/register/inspections
 - https://dmv.utah.gov/vehicles/rebuilt/glider-kits","High
- The retrieved documents clearly state the conditions under which inspections are required for motorcycles, and there is no indication that an annual safety inspection is necessary for registration purposes."
118.md,I just bought a little trailer from Harbor Freight. Do I need to register it?,"Yes, you will need to register your trailer if it weighs more than 750 lbs. According to the Utah DMV, every trailer operated in Utah, including travel and tent trailers, that weighs more than 750 lbs must be titled and registered. You will need to pay a registration fee at the time of initial registration and annually thereafter. Uniform fees also apply .

References:
- https://dmv.utah.gov/impounds/registration
 - https://dmv.utah.gov/vehicles/rebuilt/specially-constructed
 - https://dmv.utah.gov/vehicles/apportioned
 - https://dmv.utah.gov/register/temporary-permits
 - https://dmv.utah.gov/vehicles/trailers","High
- The retrieved document explicitly states the requirements for registering trailers, including the weight threshold and necessary fees."
119.md,How long does it take to get my duplicate title?,"It typically takes about a week to receive a duplicate title after completing the application process. You can request a duplicate title online using the Motor Vehicle Portal (MVP) or by completing Form TC-123, Application for Duplicate Utah Title. A $6.00 title fee will be assessed .

References:
- https://dmv.utah.gov/faq/upp
 - https://dmv.utah.gov/impounds/dui
 - https://dmv.utah.gov/register/temporary-permits
 - https://dmv.utah.gov/faq/upp
 - https://dmv.utah.gov/contact/scheduler","High
- The information is directly retrieved from the relevant Utah DMV document and specifies the timeframe and process for obtaining a duplicate title."
12.md,How do I go about obtaining a new title for a few vehicles that are in my father's name and he has passed away?,"To obtain a new title for vehicles in your father's name after his passing, you will need to follow a specific process set by the Utah DMV. Here are the steps you generally need to follow:

1. **Provide a Death Certificate**: You will need to submit a copy of your father's death certificate as part of the documentation.

2. **Probate Court Documentation**: Depending on whether your father's estate is going through probate, you may need to provide court documents indicating the executor or administrator of the estate. This could be a letter of testamentary or a court order.

3. **Title Transfer Forms**:
   - **Form TC-656**: Complete the ""Application for Utah Title"" (Form TC-656). This form needs to be filled out by the new owner of the vehicle(s) .
   - **Form TC-569A**: If the title is unavailable, you may need to complete an ""Ownership Statement"" (Form TC-569A), explaining how you acquired the vehicle and why no title is available .

4. **Odometer Disclosure**: If the vehicles are less than 20 years old, you will need to complete the odometer disclosure section on the title or provide a properly completed Form TC-891, Odometer Disclosure Statement, signed by the owner and the buyer .

5. **Release of Lien**: If there is a lienholder listed on the title, ensure that the lienholder has released their lien. This is necessary before the vehicle can be transferred to the new owner .

6. **Emissions and Safety Inspections**: If you plan on registering the vehicles, you may need to provide safety and/or emissions inspection certificates, especially if you live in certain counties (Salt Lake, Davis, Weber, Cache, or Utah) .

7. **Pay Applicable Fees**: Be prepared to pay any applicable fees and taxes at the time of the title transfer. The exact amount will depend on the value of the vehicles and your local sales tax rate .

For more detailed guidance, you may want to visit the Utah DMV website or contact them directly. They can provide specific instructions based on your unique situation.

References:
- https://dmv.utah.gov/titles/transfer-utah-title
 - https://dmv.utah.gov/faq/titles
 - https://dmv.utah.gov/contact/scheduler
 - https://dmv.utah.gov/buying-selling/responsibilities
 - https://dmv.utah.gov/contact/scheduler","HIGH. The provided steps and required documents are directly cited from the Utah DMV resources and cover the necessary procedures for transferring a vehicle title when the owner is deceased.

**Citations:**
- : transfer-utah-title.html
- : titles.html
- : scheduler.html
- : responsibilities.html
- : scheduler.html"
120.md,"""If I just registered my vehicle, then sold it, can I use the fees for my new car registration?""","The retrieved documents do not provide specific information regarding the transfer of registration fees from one vehicle to another when the original vehicle is sold. For detailed guidance on whether you can transfer the registration fees to your new car, it is recommended to contact the Utah DMV directly or visit their official website.

References:
- https://dmv.utah.gov/faq/upp
 - https://dmv.utah.gov/vehicles/passenger
 - https://dmv.utah.gov/faq/titles
 - https://dmv.utah.gov/faq/titles
 - https://dmv.utah.gov/faq/registering","Low
The retrieved documents did not contain explicit information about transferring registration fees between vehicles. Further inquiry with the Utah DMV is advised for accurate information."
121.md,Where can I get a safety inspection done?,"Safety inspections can be performed by various authorized individuals and locations. Specifically, inspections can be completed by:

- A DMV employee
- A designated contractor
- A Utah peace officer or designated enforcement agency employee
- A licensed dealer
- A certified safety inspector

Additionally, for trailers, boats, off-highway vehicles, and snowmobiles, these inspections can be documented using Form TC-661, Certificate of Inspection .

References:
- https://dmv.utah.gov/register/inspections
 - https://dmv.utah.gov/register/inspections
 - https://dmv.utah.gov/motorcarriers/inspection-requirements
 - https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/titles/transfer-outofstate","High
**Reasoning:** The information is directly extracted from the retrieved documents, which provide detailed instructions on who is authorized to complete safety inspections in Utah."
122.md,"""I am military, do I get an exemption?""","Yes, as a member of the military, you may qualify for certain exemptions when registering your vehicle in Utah:

1. **Property Tax/Age-Based Fee Exemption**: If you are a Utah resident currently serving in the military and stationed outside of Utah, you may qualify for an exemption from property tax/age-based fees when your vehicle is located with you out-of-state. To qualify for this exemption, you need to provide:
   - Military Leave and Earnings Statement (LES) to verify your resident state.
   - Military Orders or documentation on military letterhead to verify your assignment location .

2. **Sales/Use Tax Exemption**: Active-duty military personnel stationed in Utah, whose legal residence is in another state, are permitted to register their motor vehicles in their state of legal residence. However, if you purchase a vehicle in Utah and plan to operate it in the state, you must pay the sales/use tax on the vehicle, even if you choose to register it in your home state .

References:
- https://dmv.utah.gov/register/out-of-state-residents
 - https://dmv.utah.gov/register/nonresidents
 - https://dmv.utah.gov/vehicles/passenger
 - https://dmv.utah.gov/register/renewal
 - https://dmv.utah.gov/taxes-fees/uniform-fees","HIGH
The information provided is directly extracted from the relevant Utah DMV documents, ensuring accuracy and relevance."
123.md,My son is going to BYU in the fall. Does he need to register his car in Utah?,"Your son, as a nonresident student attending Brigham Young University (BYU) in Utah, does not necessarily need to register his car in Utah. He may maintain his out-of-state registration if he is currently registered full-time at a college, university, or other accredited educational institution in Utah and is paying nonresident tuition . However, he has the option to register his vehicle in Utah if he prefers, in which case all required Utah fees and inspections would apply .

References:
- https://dmv.utah.gov/register/out-of-state-residents
 - https://dmv.utah.gov/register/nonresidents
 - https://dmv.utah.gov/register
 - https://dmv.utah.gov/vehicles/passenger
 - https://dmv.utah.gov/register/nonresidents",High. The information is directly retrieved from the Utah DMV website that outlines the requirements and options for nonresident students attending educational institutions in Utah.
124.md,How long is my emissions good for?,"The duration for which your emissions test is valid depends on the county in which your vehicle is registered and the model year of your vehicle:

1. **Salt Lake County, Davis County, Utah County**:
   - Vehicles less than six years old: Emission tests are required once every two years. Vehicles with even-numbered model years require tests in even-numbered years, and vehicles with odd-numbered model years require tests in odd-numbered years .

2. **Specific Requirements for Model Years**:
   - Vehicles from 2018 to 1968: Emission tests are required annually.
   - Vehicles 1967 and older: Emission tests are not required .

For a detailed breakdown of the requirements based on specific vehicle model years, you can refer to the respective county guidelines provided in the documents.

References:
- https://dmv.utah.gov/register/inspections
 - https://dmv.utah.gov/motorcarriers/inspection-requirements
 - https://dmv.utah.gov/motorcarriers/inspection-requirements
 - https://dmv.utah.gov/register/inspections
 - https://dmv.utah.gov/impounds/registration","High. This information was directly sourced from the Utah DMV documentation, detailing the emission inspection requirements for different counties."
125.md,Do I have to have Utah Insurance to register?,"Yes, you are required to have Utah insurance to register a vehicle in Utah. According to Utah Code 31A-22-302, no-fault, bodily injury, and property damage liability coverage must be maintained on all passenger cars and trucks throughout the vehicle's registration period if the owner/operator is a resident of Utah. Additionally, non-residents who operate a motor vehicle that has been physically present in Utah for 90 days during the preceding 365 days are also required to maintain no-fault insurance while the vehicle remains in the state .

References:
- https://dmv.utah.gov/register/nonresidents
 - https://dmv.utah.gov/register/insurance
 - https://dmv.utah.gov/register
 - https://dmv.utah.gov/register/out-of-state-residents
 - https://dmv.utah.gov/faq/specific-vehicles-faq","High. The information is directly cited from the Utah DMV website, which specifies the insurance requirements for vehicle registration in Utah."
126.md,Do I need Utah ID to register?,"To register a vehicle in Utah, you do not need to provide a Utah ID specifically. Instead, you will need to provide several documents, including:

- The vehicle title.
- A completed Form TC-656, Utah Title Application.
- Vehicle Identification Number (VIN) inspection, if the vehicle is being titled in Utah for the first time.
- Safety and emission certificates, if required.
- Payment of registration and uniform fees .

Additionally, for leased vehicles, a Power of Attorney from the leasing company is required .

References:
- https://dmv.utah.gov/faq/registering
 - https://dmv.utah.gov/vehicles/rebuilt/specially-constructed
 - https://dmv.utah.gov/vehicles/rebuilt/kit-vehicles
 - https://dmv.utah.gov/vehicles/passenger
 - https://dmv.utah.gov/vehicles/commercial","High
**Reasoning:** The information is directly extracted from the Utah DMV documents, which detail the requirements for vehicle registration. The documents do not mention the necessity of a Utah ID specifically for registration purposes."
127.md,Can I swap plates on my vehicles?,"Swapping plates directly between vehicles is not explicitly mentioned in the provided documents. However, here are a few related details that might be helpful:

1. **Antique Plates**: If you have a vehicle of a model year 1973 or older, you can use original-issue license plates from the same year as the model year of the vehicle, provided the plate number is not currently assigned to another vehicle and does not conflict with a currently issued series. The original issue plates need to be verified by DMV staff .

2. **Foreign Vehicle Registration**: If you move to Utah from another state and establish residence, you might register your vehicle as a foreign vehicle without surrendering the out-of-state title if the title is held by a lien holder. This involves surrendering the vehicle�s current out-of-state registration .

3. **Special Plates**: Certain special plates, such as those for off-highway vehicles or Utah Highway Patrol vehicles, have specific usage restrictions and cannot be used interchangeably on different types of vehicles .

For specific guidance on whether you can swap plates between your particular vehicles, it is recommended to contact the Utah DMV directly.

References:
- https://dmv.utah.gov/plates/off-highway-vehicle
 - https://dmv.utah.gov/plates/skiutah
 - https://dmv.utah.gov/register/nonresidents
 - https://dmv.utah.gov/plates/uhp
 - https://dmv.utah.gov/plates/antique",Medium. The documents provide information on specific plate types and their regulations but do not explicitly cover general plate swapping between vehicles. Contacting the Utah DMV will give you the most accurate and applicable information for your situation.
128.md,Can I get one of those tan plates for my street legal ATV?,"No, you cannot get a tan plate for your street-legal ATV. The tan ATV off-highway vehicle plates are not considered street legal and are not for street use .

References:
- https://dmv.utah.gov/vehicles/street-legal-atvs
 - https://dmv.utah.gov/plates/off-highway-vehicle
 - https://dmv.utah.gov/vehicles/motorcycles
 - https://dmv.utah.gov/vehicles/atvs-dirt-bikes
 - https://dmv.utah.gov/vehicles/snowmobiles","High
**Reasoning:** The information is directly stated in the document that tan plates are explicitly not for street use."
